uprn,OS_lpi_address,OS_pao,OS_postcode,OS_max_height,OS_height_band,OS_max_epc_floor_level,OS_address_count,OS_property_type,OS_lucs_type_count,OS_title_number,OS_title_number_counts,OS_toid,OS_usrn,OS_custodian_name,OS_country,OS_easting,OS_northing
200003755329,"PETWORTH HOUSE EAST DULWICH ESTATE, PYTCHLEY ROAD, LONDON, SE22 8DD",PETWORTH HOUSE EAST DULWICH ESTATE PYTCHLEY ROAD,SE22 8DD,20.6,Over 18m,3,40,FLATS,RESIDENTIAL:40,{LN3440},1,osgb1000006018023,22502019,SOUTHWARK,ENGLAND,533345,175588
200003356609,"PENTAGON HOUSE, 52-54, SOUTHWARK STREET, LONDON, SE1 1UN",PENTAGON HOUSE 52-54 SOUTHWARK STREET,SE1 1UN,29.7,Over 18m,,8,MULTI COMMERCIAL,OFFICES:8,{LN68838},1,osgb1000005891108,22502304,SOUTHWARK,ENGLAND,532317,180177
200003498164,"PASCALL HOUSE BRANDON ESTATE, DRACO STREET, LONDON, SE17 3HP",PASCALL HOUSE BRANDON ESTATE DRACO STREET,SE17 3HP,18,Over 18m,4,20,FLATS,RESIDENTIAL:20,{SGL192319},1,osgb1000005881157,22500803,SOUTHWARK,ENGLAND,532123,177860
10013524448,"MARY SEACOLE COURT, DOG KENNEL HILL, LONDON, SE22 8BF",MARY SEACOLE COURT DOG KENNEL HILL,SE22 8BF,18.4,Over 18m,4,15,FLATS,RESIDENTIAL:15,{TGL29926},1,osgb1000001769620436,22500783,SOUTHWARK,ENGLAND,533248,175712
200003499736,"MILLBROOK HOUSE FRIARY ESTATE, PECKHAM PARK ROAD, LONDON, SE15 6TG",MILLBROOK HOUSE FRIARY ESTATE PECKHAM PARK ROAD,SE15 6TG,18.1,Over 18m,4,30,FLATS,RESIDENTIAL:30,{TGL266449},1,osgb1000006166208,22501931,SOUTHWARK,ENGLAND,534331,177628
200003498623,"KITTIWAKE COURT, 4 GREAT DOVER STREET, LONDON, SE1 4XR",KITTIWAKE COURT 4 GREAT DOVER STREET,SE1 4XR,20.5,Over 18m,5,15,FLATS,RESIDENTIAL:15,{TGL550273},1,osgb1000042912080,22501118,SOUTHWARK,ENGLAND,532464,179689
200003498251,"INNIS HOUSE ALVEY ESTATE, EAST STREET, LONDON, SE17 2JN",INNIS HOUSE ALVEY ESTATE EAST STREET,SE17 2JN,19.7,Over 18m,4,76,FLATS,RESIDENTIAL:76,{TGL184475},1,osgb1000006029547,22500867,SOUTHWARK,ENGLAND,533123,178467
200003499304,"HUBERD HOUSE, MANCIPLE STREET, LONDON, SE1 4DN",HUBERD HOUSE MANCIPLE STREET,SE1 4DN,19.1,Over 18m,3,38,FLATS,RESIDENTIAL:38,{TGL71708},1,osgb1000005888730,22501642,SOUTHWARK,ENGLAND,532875,179406
10000816533,"GUYS HOSPITAL MEDICAL SCHOOL, GREAT MAZE POND, LONDON, SE1 3SS",GUYS HOSPITAL MEDICAL SCHOOL GREAT MAZE POND,SE1 3SS,31.2,Over 18m,,5,MULTI (RETAIL) COMMERCIAL,"RETAILING:2, COMMUNITY BUILDINGS:1, OFFICES:1, LEISURE AND RECREATIONAL BUILDINGS:1",{TGL141763},1,osgb1000005887343,22501127,SOUTHWARK,ENGLAND,532783,180012
10091666544,"HIGHLINE BUILDING, 10 STEEDMAN STREET, LONDON, SE17 3AF",HIGHLINE BUILDING 10 STEEDMAN STREET,SE17 3AF,28.4,Over 18m,,36,RESIDENTIAL EDUCATION,"RESIDENTIAL:36, INSTITUTIONAL AND COMMUNAL ACCOMMODATION:1",{SGL24095},1,osgb5000005174987862,22502382,SOUTHWARK,ENGLAND,532084.47,178716.01
200003499261,"GRENVILLE COURT, LYMER AVENUE, LONDON, SE19 1LR",GRENVILLE COURT LYMER AVENUE,SE19 1LR,27.4,Over 18m,8,37,FLATS,RESIDENTIAL:37,{TGL324197},1,osgb1000006008590,22501604,SOUTHWARK,ENGLAND,533813,171403
10000816528,"GRAY HOUSE BROWNING ESTATE, KING AND QUEEN STREET, LONDON, SE17 1DT",GRAY HOUSE BROWNING ESTATE KING AND QUEEN STREET,SE17 1DT,18.5,Over 18m,4,30,FLATS,RESIDENTIAL:30,{SGL261070},1,osgb1000005886448,22501410,SOUTHWARK,ENGLAND,532468,178449
200003499611,"GRASMERE POINT, OLD KENT ROAD, LONDON, SE15 1DT",GRASMERE POINT OLD KENT ROAD,SE15 1DT,57.9,Over 18m,17,78,FLATS,RESIDENTIAL:78,{TGL188093},1,osgb1000041677915,22501843,SOUTHWARK,ENGLAND,535113,177416
10091667023,"GLOBE VIEW HOUSE, 29 POCOCK STREET, LONDON, SE1 0FU",GLOBE VIEW HOUSE 29 POCOCK STREET,SE1 0FU,31.4,Over 18m,,17,FLATS,RESIDENTIAL:17,{SGL150962},1,osgb5000005164852845,22501991,SOUTHWARK,ENGLAND,531699.57,179836.26
10091667022,"GLOBE VIEW HOUSE, 27 POCOCK STREET, LONDON, SE1 0FU",GLOBE VIEW HOUSE 27 POCOCK STREET,SE1 0FU,31.4,Over 18m,0,37,FLATS,RESIDENTIAL:37,{SGL150962},1,osgb5000005164852845,22501991,SOUTHWARK,ENGLAND,531699.57,179836.26
200003500309,"33 ST GEORGES ROAD, LONDON, SE1 6EW",33 ST GEORGES ROAD,SE1 6EW,19.4,Over 18m,,1,RESIDENTIAL,RESIDENTIAL:1,{386773},1,osgb1000005729429,22502326,SOUTHWARK,ENGLAND,531766,179095
200003497439,"ELLIS HOUSE BROWNING ESTATE, BRANDON STREET, LONDON, SE17 1EA",ELLIS HOUSE BROWNING ESTATE BRANDON STREET,SE17 1EA,18.4,Over 18m,4,26,FLATS,RESIDENTIAL:26,{SGL261070},1,osgb1000005885749,22500317,SOUTHWARK,ENGLAND,532567,178445
10013528796,"EYOT HOUSE, MARINE STREET, LONDON, SE16 4SZ",EYOT HOUSE MARINE STREET,SE16 4SZ,32.3,Over 18m,8,55,FLATS,RESIDENTIAL:55,{TGL324815},1,osgb1000001769663267,22501658,SOUTHWARK,ENGLAND,534095.19,179324.07
10013528912,"EYOT HOUSE, 50 OLD JAMAICA ROAD, LONDON, SE16 4RP",EYOT HOUSE 50 OLD JAMAICA ROAD,SE16 4RP,32.3,Over 18m,,1,MEDICAL PREMISE,COMMUNITY BUILDINGS:1,{TGL324815},1,osgb1000001769663267,22501840,SOUTHWARK,ENGLAND,534128.62,179329.86
200003755283,"CRUDEN HOUSE BRANDON ESTATE, HILLINGDON STREET, LONDON, SE17 3PQ",CRUDEN HOUSE BRANDON ESTATE HILLINGDON STREET,SE17 3PQ,50.3,Over 18m,17,68,FLATS,RESIDENTIAL:68,{LN107479},1,osgb1000005720062,22501246,SOUTHWARK,ENGLAND,531730,177563
200003356727,"CHAUCER HOUSE, WHITE HART YARD, LONDON, SE1 1NX",CHAUCER HOUSE WHITE HART YARD,SE1 1NX,19.7,Over 18m,,4,MULTI (RETAIL) COMMERCIAL,"OFFICES:3, RETAILING:1",{SGL167804},1,osgb1000005890503,22502699,SOUTHWARK,ENGLAND,532719,180090
10090748656,"BOWEN COURT, 13 DEBNAMS ROAD, LONDON, SE16 2BB",BOWEN COURT 13 DEBNAMS ROAD,SE16 2BB,19,Over 18m,0,16,FLATS,RESIDENTIAL:16,{LN207552},1,osgb5000005111619685,22500734,SOUTHWARK,ENGLAND,535233.49,178585.43
200003498383,"ALAND COURT, FINLAND STREET, LONDON, SE16 7LA",ALAND COURT FINLAND STREET,SE16 7LA,18.8,Over 18m,5,67,FLATS,RESIDENTIAL:67,{TGL92741},1,osgb1000041729475,22500962,SOUTHWARK,ENGLAND,536310,179220
10094086621,"BARNARD HOUSE, 34 HEYGATE STREET, LONDON, SE17 1FP",BARNARD HOUSE 34 HEYGATE STREET,SE17 1FP,26.6,Over 18m,,65,FLATS,RESIDENTIAL:65,{SGL384380},1,osgb5000005239527603,22501239,SOUTHWARK,ENGLAND,532219.69,178714.46
10093340638,"8 MELIOR STREET, LONDON, SE1 3QP",8 MELIOR STREET,SE1 3QP,26.5,Over 18m,,10,RETAIL MIXED USE,"RESIDENTIAL:9, RETAILING:1",{TGL425223},1,osgb5000005187146878,22501708,SOUTHWARK,ENGLAND,533026.7,179913.7
200003356666,"88 BOROUGH HIGH STREET, LONDON, SE1 1LL",88 BOROUGH HIGH STREET,SE1 1LL,23,Over 18m,,8,FLATS,RESIDENTIAL:8,{LN237292},1,osgb1000005890444,22500284,SOUTHWARK,ENGLAND,532539,180014
10091668092,"6 ST GABRIEL WALK, LONDON, SE1 6BH",6 ST GABRIEL WALK,SE1 6BH,18.1,Over 18m,2,32,MIXED USE,"RESIDENTIAL:30, COMMUNITY BUILDINGS:1, OFFICES:1",{TGL91158},1,osgb5000005164571452,22503369,SOUTHWARK,ENGLAND,531899,178909.48
10000813173,"38-40, SOUTHWARK STREET, LONDON, SE1 1UN",38-40 SOUTHWARK STREET,SE1 1UN,20.3,Over 18m,,3,MULTI (RETAIL) COMMERCIAL,"OFFICES:2, RETAILING:1",{331644},1,osgb1000005890818,22502304,SOUTHWARK,ENGLAND,532416,180165
200003432898,"L B SOUTHWARK PROPERTY DIVISION, 33 MANOR PLACE, LONDON, SE17 3BD",33 MANOR PLACE,SE17 3BD,23.2,Over 18m,,3,MIXED USE,"RESIDENTIAL:2, OFFICES:1, COMMUNITY BUILDINGS:1",{TGL279973},1,osgb1000005886794,22501649,SOUTHWARK,ENGLAND,532139.05,178331.18
10013525609,"2B, MORE LONDON RIVERSIDE, LONDON, SE1 2AP",2B MORE LONDON RIVERSIDE,SE1 2AP,45.8,Over 18m,,2,MULTI COMMERCIAL,"COMMUNITY BUILDINGS:1, OUTDOOR RECREATION:1",{TGL143293},1,osgb1000001802567692,22503263,SOUTHWARK,ENGLAND,533338.17,180226.1
